task_id,task_description,category,priority,status,created_date,due_date,estimated_hours,story_points,assignee_id,assignee_experience_years,assignee_open_tasks,days_to_deadline
TASK-17393,Fix broken layout of the inventory module on small screens,Bug Fix,Medium,Completed,2026-03-28,2026-04-09,4.3,1.0,USER-25,7.1,17,12
TASK-16783,Improve performance of the analytics pipeline,Maintenance,Low,Completed,2026-06-01,2026-06-26,3.5,1.0,USER-18,8.1,15,25
TASK-12574,Document and fix the issues found in the analytics pipeline,Documentation,Low,Open,2026-02-02,2026-03-03,3.2,1.0,USER-12,14.6,4,29
TASK-12476,Archive old logs generated by the authentication service,Maintenance,Medium,Completed,2026-01-21,2026-01-29,3.9,8.0,USER-18,8.1,15,8
TASK-13090,Document the deployment steps for the notification service,Documentation,Medium,Open,2026-06-15,2026-06-18,4.7,1.0,USER-06,5.9,5,3
TASK-15858,Build a filtering and sorting option for the admin panel,Feature,Low,In Progress,2026-03-11,2026-04-06,11.2,8.0,USER-11,0.8,18,26
TASK-15008,Upgrade outdated dependencies used by the landing page,Maintenance,Low,Open,2026-02-26,2026-03-21,3.9,13.0,USER-08,13.1,7,23
TASK-15880,Review and improve test coverage of the authentication service,Testing,Medium,Completed,2026-05-18,2026-05-26,15.9,2.0,USER-01,5.9,15,8
TASK-13515,Improve performance of the user dashboard,Research,Critical,In Progress,2026-03-13,2026-03-25,22.3,5.0,USER-20,4.7,12,12
TASK-17767,Add bulk export to CSV from the database layer,Feature,Medium,Open,2026-02-21,2026-03-01,9.6,1.0,USER-01,5.9,15,8
TASK-13441,Patch the memory leak in the file upload service background worker,Bug Fix,High,Open,2026-02-17,2026-02-27,5.2,5.0,USER-20,4.7,12,10
TASK-10483,Create end-to-end test scenarios for the billing system,Testing,High,In Progress,2026-05-30,2026-06-04,6.0,2.0,USER-09,9.2,9,5
TASK-15673,Update the login page after the recent review comments,Documentation,Medium,Blocked,2026-04-19,2026-04-24,2.3,1.0,USER-16,3.2,2,5
TASK-17785,Set up monitoring for the landing page,Feature,Low,Open,2026-04-11,2026-04-30,9.1,1.0,USER-16,3.2,2,19
TASK-16735,Investigate the slow response of the admin panel,Maintenance,Low,In Progress,2026-01-12,2026-01-26,3.8,8.0,USER-03,11.1,12,14
TASK-13149,Set up automated regression tests for the landing page,Research,High,Blocked,2026-03-13,2026-03-17,6.6,13.0,USER-21,9.4,8,4
TASK-16063,Implement two-factor authentication in the mobile app,Feature,Medium,Completed,2026-05-04,2026-06-26,17.9,8.0,USER-15,3.1,9,53
TASK-10233,Improve error handling in the analytics pipeline,Maintenance,Low,Open,2026-03-02,2026-03-11,4.8,13.0,USER-10,10.8,7,9
TASK-15071,Prepare a troubleshooting FAQ for the report module,Documentation,Medium,Open,2026-05-06,2026-05-12,2.9,1.0,USER-25,7.1,17,6
TASK-16049,Update the search API after the recent review comments,Feature,Critical,Blocked,2026-06-17,2026-06-24,33.5,2.0,USER-11,0.8,18,7
TASK-11144,Set up automated regression tests for the billing system,Testing,Medium,In Progress,2026-04-18,2026-04-22,5.0,13.0,USER-23,4.7,3,4
TASK-15546,Fix incorrect totals displayed in the payment gateway after a refund,Bug Fix,Medium,Open,2026-03-16,2026-03-29,2.3,5.0,USER-01,5.9,15,13
TASK-13133,Update the API reference after the recent changes to the inventory module,Documentation,Low,Open,2026-04-21,2026-05-03,3.7,2.0,USER-03,11.1,12,12
TASK-14353,Fix broken layout of the search API on small screens,Bug Fix,Critical,Open,2026-03-19,2026-03-22,3.0,1.0,USER-04,9.2,20,3
TASK-15676,Create onboarding notes explaining how the report module works,Documentation,Low,Open,2026-01-15,2026-02-08,2.6,8.0,USER-17,4.9,20,24
TASK-11941,Clean up and reorganize the mobile app,Documentation,Medium,Open,2026-06-16,2026-06-24,2.5,1.0,USER-08,13.1,7,8
TASK-14722,Update dependencies and re-test the notification service,Testing,Medium,In Progress,2026-04-05,2026-04-11,10.2,2.0,USER-15,3.1,9,6
TASK-11426,Build a filtering and sorting option for the checkout flow,Feature,Medium,Blocked,2026-03-09,2026-03-25,13.2,3.0,USER-25,7.1,17,16
TASK-14998,Add role-based access control to the database layer,Feature,Low,Open,2026-04-10,2026-04-27,9.6,1.0,USER-22,2.5,15,17
TASK-16747,Set up automated regression tests for the order tracking page,Testing,Medium,In Progress,2026-03-15,2026-03-27,1.8,1.0,USER-13,12.6,14,12
TASK-15093,Improve performance of the report module,Research,Low,Open,2026-01-17,2026-02-01,6.7,13.0,USER-09,9.2,9,15
TASK-14925,Update configuration for the landing page,Maintenance,Low,Open,2026-03-18,2026-04-03,4.8,8.0,USER-09,9.2,9,16
TASK-17452,Improve performance of the inventory module,Maintenance,Medium,Open,2026-04-13,2026-05-04,3.9,1.0,USER-08,13.1,7,21
TASK-11183,Clean up dead code and unused assets in the login page,Maintenance,Low,Completed,2026-01-10,2026-01-23,2.7,5.0,USER-18,8.1,15,13
TASK-11870,Look into user reports about the chat widget,Bug Fix,Critical,Completed,2026-05-28,2026-05-30,9.0,5.0,USER-21,9.4,8,2
TASK-14301,Check why the admin panel is not working as expected,Bug Fix,Critical,In Progress,2026-02-24,2026-02-26,4.0,5.0,USER-16,3.2,2,2
TASK-14498,Update dependencies and re-test the order tracking page,Deployment,High,In Progress,2026-05-31,2026-06-11,5.1,8.0,USER-15,3.1,9,11
TASK-10554,Update the login page after the recent review comments,Documentation,Medium,Completed,2026-04-12,2026-04-18,4.8,1.0,USER-19,6.8,7,6
TASK-14928,Add role-based access control to the database layer,Feature,High,Open,2026-03-26,2026-04-05,11.9,2.0,USER-06,2.8,5,10
TASK-12303,Prepare the search API for the next release,Deployment,Critical,Open,2026-04-11,2026-04-14,6.5,5.0,USER-23,4.7,3,3
TASK-15831,Add bulk export to CSV from the admin panel,Feature,Critical,Blocked,2026-04-15,2026-04-29,39.8,13.0,USER-20,4.7,12,14
TASK-16421,Add code comments and docstrings to the authentication service module,Documentation,Low,Open,2026-06-16,2026-06-27,4.0,1.0,USER-01,5.9,15,11
TASK-17965,Investigate and fix duplicate records created by the email scheduler,Bug Fix,Critical,Open,2026-03-13,2026-03-16,4.1,1.0,USER-08,13.1,7,3
TASK-15523,Prepare a troubleshooting FAQ for the report module,Documentation,Medium,Open,2026-06-01,2026-06-19,7.1,2.0,USER-17,4.9,20,18
TASK-12860,Set up automated regression tests for the user dashboard,Testing,Low,Open,2026-01-24,2026-02-01,4.4,1.0,USER-14,3.6,18,8
TASK-12407,Prepare the analytics pipeline for the next release,Testing,Medium,Open,2026-06-21,2026-06-27,7.2,1.0,USER-14,3.6,18,6
TASK-11916,Clean up and reorganize the file upload service,Documentation,Low,In Progress,2026-01-17,2026-01-28,2.5,3.0,USER-13,12.6,14,11
TASK-13383,Fix the timeout issue in the billing system when the network is slow,Research,Critical,Completed,2026-01-25,2026-01-26,4.7,5.0,USER-11,0.8,18,1
TASK-10429,Set up monitoring for the file upload service,Deployment,Medium,Completed,2026-01-18,2026-01-24,4.1,1.0,USER-20,4.7,12,6
TASK-11940,Implement two-factor authentication in the email scheduler,Feature,Low,Completed,2026-07-01,2026-07-14,10.6,2.0,USER-13,12.6,14,13
TASK-12024,Research caching strategies to speed up the payment gateway,Research,High,Blocked,2026-06-19,2026-06-22,12.9,3.0,USER-05,2.8,3,3
TASK-15799,Prepare a troubleshooting FAQ for the admin panel,Documentation,Medium,Blocked,2026-03-11,2026-03-15,2.3,1.0,USER-04,9.2,20,4
TASK-13524,Check why the search API is not working as expected,Bug Fix,Critical,Open,2026-03-30,2026-04-01,3.3,1.0,USER-12,14.6,4,2
TASK-17686,Analyze current behavior of the profile settings,Testing,Low,Open,2026-02-02,2026-02-14,10.0,13.0,USER-09,9.2,9,12
TASK-17803,Analyze current behavior of the payment gateway,Research,Medium,Open,2026-04-12,2026-04-29,8.8,2.0,USER-02,14.3,19,17
TASK-16064,Add role-based access control to the file upload service,Maintenance,Medium,In Progress,2026-06-19,2026-08-03,21.3,5.0,USER-02,14.3,19,45
TASK-13532,Review recent changes made to the user dashboard,Testing,High,Completed,2026-02-16,2026-02-19,10.5,2.0,USER-18,8.1,15,3
TASK-10239,Prepare a troubleshooting FAQ for the order tracking page,Documentation,High,In Progress,2026-02-12,2026-02-16,5.3,1.0,USER-10,10.8,7,4
TASK-15125,Create end-to-end test scenarios for the analytics pipeline,Testing,Low,Open,2026-05-22,2026-06-02,3.2,1.0,USER-05,2.8,3,11
TASK-15044,Prototype a machine learning approach for the user dashboard,Research,Medium,Completed,2026-03-15,2026-03-25,7.4,2.0,USER-24,5.8,14,10
TASK-17483,Add bulk export to CSV from the landing page,Feature,Low,In Progress,2026-03-31,2026-04-20,13.5,3.0,USER-05,2.8,3,20
TASK-15065,Implement two-factor authentication in the profile settings,Feature,Low,Completed,2026-04-27,2026-06-23,6.0,2.0,USER-24,5.8,14,57
TASK-16325,Deploy the latest release of the mobile app to production,Deployment,High,Open,2026-02-10,2026-02-12,5.1,1.0,USER-24,5.8,14,2
TASK-12778,URGENT: Add bulk export to CSV from the analytics pipeline,Feature,High,Open,2026-06-05,2026-06-09,18.2,3.0,USER-16,3.2,2,4
TASK-16686,Set up monitoring for the login page,Maintenance,Low,Open,2026-02-26,2026-03-09,1.7,1.0,USER-22,5.9,15,11
TASK-15643,Update the API reference after the recent changes to the profile settings,Documentation,Medium,Open,2026-03-31,2026-04-03,2.8,1.0,USER-19,6.8,7,3
TASK-13614,Add bulk export to CSV from the file upload service,Feature,High,Open,2026-05-02,2026-06-24,20.0,2.0,USER-25,7.1,17,53
TASK-15531,Implement two-factor authentication in the login page,Feature,Low,In Progress,2026-04-23,2026-05-02,6.7,8.0,USER-14,3.6,18,9
TASK-12226,Add multi-language support to the report module,Feature,High,Open,2026-02-10,2026-02-17,14.6,3.0,USER-01,5.9,15,7
TASK-14810,Refactor the analytics pipeline to reduce technical debt,Maintenance,Low,Completed,2026-04-30,2026-05-23,3.0,1.0,USER-06,2.8,5,23
TASK-10093,Check why the order tracking page is not working as expected,Testing,Medium,Open,2026-05-05,2026-05-10,8.8,1.0,USER-15,3.1,9,5
TASK-16486,Update configuration for the email scheduler,Maintenance,Medium,In Progress,2026-01-23,2026-02-22,7.1,2.0,USER-11,0.8,18,30
TASK-17920,Roll back the faulty release of the search API and verify stability,Deployment,High,Completed,2026-02-27,2026-03-03,5.5,1.0,USER-06,2.8,5,4
TASK-15077,Clean up and reorganize the login page,Documentation,Medium,Open,2026-04-16,2026-05-09,4.6,5.0,USER-06,2.8,5,23
TASK-17671,Correct the wrong currency formatting shown on the inventory module,Bug Fix,Medium,Completed,2026-06-28,2026-07-03,2.5,1.0,USER-22,2.5,15,5
TASK-10101,Deploy the latest release of the payment gateway to production,Deployment,High,Completed,2026-02-22,2026-02-27,5.0,1.0,USER-06,2.8,5,5
TASK-11765,[HIGH IMPACT] Fix the timeout issue in the checkout flow when the network is slow,Bug Fix,Critical,In Progress,2026-03-21,2026-03-22,4.6,2.0,USER-16,3.2,2,1
TASK-13615,Containerize the payment gateway and update the deployment scripts,Deployment,High,Completed,2026-02-11,2026-02-14,7.9,2.0,USER-19,6.8,7,3
TASK-10503,Review and improve test coverage of the authentication service,Testing,High,In Progress,2026-03-09,2026-03-12,3.3,3.0,USER-07,1.3,19,3
TASK-12513,Investigate and fix duplicate records created by the checkout flow,Bug Fix,Medium,Open,2026-01-05,2026-01-10,1.4,1.0,USER-07,1.3,19,5
TASK-11075,Implement two-factor authentication in the email scheduler,Feature,Low,Blocked,2026-04-17,2026-05-04,8.4,2.0,USER-12,14.6,4,17
TASK-13206,Add bulk export to CSV from the login page,Feature,High,Completed,2026-06-10,2026-07-06,16.8,3.0,USER-05,2.8,3,26
TASK-17978,Create end-to-end test scenarios for the database layer,Testing,Low,Completed,2026-05-29,2026-06-20,3.9,3.0,USER-15,3.1,9,22
TASK-15247,Set up the staging environment for the billing system,Deployment,Critical,Blocked,2026-03-30,2026-04-06,3.8,13.0,USER-01,5.9,15,7
TASK-12006,Correct the wrong currency formatting shown on the login page,Bug Fix,High,In Progress,2026-05-21,2026-05-24,3.0,2.0,USER-11,0.8,18,3
TASK-13123,URGENT: Document the deployment steps for the report module,Documentation,High,In Progress,2026-04-12,2026-04-15,2.7,5.0,USER-09,9.2,9,3
TASK-14614,Upgrade outdated dependencies used by the inventory module,Maintenance,Medium,Completed,2026-06-04,2026-07-11,6.0,2.0,USER-10,10.8,7,37
TASK-13921,Improve error handling in the email scheduler,Feature,High,In Progress,2026-05-27,2026-07-11,24.2,8.0,USER-08,13.1,7,45
TASK-10518,Fix broken layout of the profile settings on small screens,Bug Fix,Critical,Completed,2026-05-19,2026-05-22,3.8,1.0,USER-22,2.5,15,3
TASK-17127,Add integration tests for the analytics pipeline endpoints,Testing,Medium,Blocked,2026-06-05,2026-06-18,10.0,2.0,USER-09,9.2,9,13
TASK-17384,Implement dark mode support for the admin panel,Feature,Critical,Completed,2026-01-13,2026-01-17,13.8,3.0,USER-13,12.6,14,4
TASK-12664,URGENT: Perform load testing on the email scheduler before release,Testing,High,Completed,2026-04-10,2026-04-13,7.2,2.0,USER-19,6.8,7,3
TASK-11835,Update configuration for the notification service,Deployment,Medium,Completed,2026-04-03,2026-04-10,2.3,1.0,USER-19,6.8,7,7
TASK-16622,Improve error handling in the mobile app,Bug Fix,Medium,Open,2026-04-08,2026-04-15,6.1,2.0,USER-08,13.1,7,7
TASK-11691,Prepare a troubleshooting FAQ for the file upload service,Documentation,Low,Completed,2026-02-07,2026-02-13,3.2,1.0,USER-14,3.6,18,6
TASK-15814,Patch the memory leak in the authentication service background worker,Bug Fix,Critical,Open,2026-05-22,2026-05-23,5.6,1.0,USER-03,11.1,12,1
TASK-12018,Improve performance of the landing page,Maintenance,Low,Open,2026-04-02,2026-04-24,4.5,5.0,USER-04,9.2,20,22
TASK-13717,Resolve the 500 error thrown by the checkout flow under heavy load,Bug Fix,Medium,Open,2026-05-17,2026-05-24,5.0,1.0,USER-23,4.7,3,7
TASK-13001,Fix the crash in the billing system when the user submits an empty form,Bug Fix,Medium,Blocked,2026-05-12,2026-05-17,3.3,1.0,USER-21,9.4,8,5
TASK-16009,Create onboarding notes explaining how the billing system works,Documentation,Low,In Progress,2026-04-28,2026-05-05,2.8,1.0,USER-20,4.7,12,7
TASK-14173,Write unit tests covering edge cases of the chat widget,Testing,Medium,Completed,2026-06-22,2026-07-05,3.3,5.0,USER-05,2.8,3,13
TASK-15224,Fix incorrect totals displayed in the login page after a refund,Bug Fix,Medium,In Progress,2026-02-14,2026-02-19,3.6,1.0,USER-11,0.8,18,5
TASK-17572,Fix the timeout issue in the file upload service when the network is slow,Bug Fix,Low,Open,2026-03-29,2026-04-03,2.2,1.0,USER-08,13.1,7,5
TASK-14022,Add multi-language support to the database layer,Feature,Low,Completed,2026-02-25,2026-03-20,2.8,1.0,USER-19,6.8,7,23
TASK-13770,Update configuration for the report module,Maintenance,Medium,In Progress,2026-01-16,2026-01-19,8.1,2.0,USER-11,0.8,18,3
TASK-11127,Review and improve test coverage of the landing page,Testing,Low,Open,2026-02-27,2026-03-05,3.6,1.0,USER-23,4.7,3,6
TASK-17909,Refactor the billing system to reduce technical debt,Maintenance,Medium,Completed,2026-03-07,2026-04-02,8.5,2.0,USER-13,12.6,14,26
TASK-17723,Clean up and reorganize the analytics pipeline,Documentation,Low,Open,2026-04-19,2026-04-30,4.6,5.0,USER-06,2.8,5,11
TASK-11027,Update configuration for the login page,Deployment,Critical,In Progress,2026-03-13,2026-03-15,4.4,2.0,USER-23,4.7,3,2
TASK-16829,Add bulk export to CSV from the inventory module,Feature,Medium,Open,2026-04-05,2026-05-08,4.4,13.0,USER-16,3.2,2,33
TASK-14541,Update configuration for the payment gateway,Deployment,Medium,In Progress,2026-02-19,2026-02-26,3.2,3.0,USER-20,4.7,12,7
TASK-15194,Verify the search API works after the latest update,Bug Fix,Critical,Open,2026-07-03,2026-07-04,2.9,5.0,USER-16,3.2,2,1
TASK-14738,Update the API reference after the recent changes to the checkout flow,Documentation,Low,In Progress,2026-04-02,2026-04-14,2.4,1.0,USER-03,11.1,12,12
TASK-15682,Review and improve test coverage of the checkout flow,Testing,Low,In Progress,2026-01-06,2026-01-18,4.3,1.0,USER-12,14.6,4,12
TASK-16492,Rotate credentials and update secrets for the profile settings,Maintenance,Medium,Completed,2026-03-28,2026-04-01,2.6,1.0,USER-05,2.8,3,4
TASK-14140,Implement pagination and lazy loading for the file upload service,Feature,Medium,Open,2026-03-28,2026-04-27,7.9,2.0,USER-13,12.6,14,30
TASK-17786,Configure CI/CD pipeline for the checkout flow,Deployment,Medium,Open,2026-06-16,2026-06-26,2.3,5.0,USER-23,4.7,3,10
TASK-11558,Rotate credentials and update secrets for the database layer,Maintenance,Critical,Completed,2026-01-06,2026-01-07,9.9,13.0,USER-21,9.4,8,1
TASK-15070,ASAP - Check why the landing page is not working as expected,Bug Fix,Critical,Completed,2026-07-02,2026-07-04,4.2,5.0,USER-10,10.8,7,2
TASK-13479,Create an auto-save draft feature for the file upload service,Feature,High,Completed,2026-04-27,2026-05-03,19.5,5.0,USER-25,7.1,17,6
TASK-17990,Archive old logs generated by the login page,Maintenance,Medium,In Progress,2026-03-13,2026-03-29,3.0,1.0,USER-05,2.8,3,16
TASK-12755,Clean up dead code and unused assets in the file upload service,Maintenance,Low,In Progress,2026-06-30,2026-07-19,3.5,1.0,USER-18,8.1,15,19
TASK-12412,Add code comments and docstrings to the landing page module,Documentation,Medium,Completed,2026-05-31,2026-06-16,3.9,13.0,USER-04,9.2,20,16
TASK-11322,Implement pagination and lazy loading for the checkout flow,Feature,Medium,Blocked,2026-01-24,2026-02-22,9.3,2.0,USER-17,4.9,20,29
TASK-16880,Add bulk export to CSV from the billing system,Feature,Medium,Completed,2026-07-03,2026-07-12,6.8,5.0,USER-05,2.8,3,9
TASK-15821,Add integration tests for the profile settings endpoints,Testing,Low,Open,2026-06-06,2026-06-17,10.7,1.0,USER-01,5.9,15,11
TASK-11287,ASAP - Fix the crash in the database layer when the user submits an empty form,Bug Fix,Critical,Completed,2026-02-05,2026-02-06,6.5,5.0,USER-25,7.1,17,1
TASK-12132,Patch the memory leak in the admin panel background worker,Bug Fix,Critical,Open,2026-02-11,2026-02-12,2.8,13.0,USER-17,4.9,20,1
TASK-16554,Containerize the search API and update the deployment scripts,Bug Fix,Medium,Open,2026-01-05,2026-01-26,12.1,13.0,USER-10,10.8,7,21
TASK-14920,Resolve the 500 error thrown by the inventory module under heavy load,Bug Fix,Critical,Open,2026-03-25,2026-03-29,10.7,1.0,USER-14,3.6,18,4
TASK-10625,Document and fix the issues found in the email scheduler,Documentation,Low,Completed,2026-07-02,2026-07-06,6.0,1.0,USER-10,10.8,7,4
TASK-13937,Implement pagination and lazy loading for the notification service,Feature,Medium,Completed,2026-05-27,2026-06-15,17.2,3.0,USER-09,9.2,9,19
TASK-14905,Add bulk export to CSV from the report module,Feature,Low,In Progress,2026-03-22,2026-04-30,8.1,2.0,USER-18,8.1,15,39
TASK-12312,Fix the crash in the landing page when the user submits an empty form,Bug Fix,High,In Progress,2026-06-14,2026-06-18,3.0,1.0,USER-10,10.8,7,4
TASK-12318,Fix incorrect totals displayed in the mobile app after a refund,Bug Fix,Critical,Open,2026-01-17,2026-01-19,3.2,1.0,USER-14,3.6,18,2
TASK-17315,Look into user reports about the email scheduler,Research,Low,In Progress,2026-02-26,2026-04-26,5.0,1.0,USER-15,3.1,9,59
TASK-12131,Patch the memory leak in the payment gateway background worker,Bug Fix,High,Open,2026-05-29,2026-06-02,3.6,3.0,USER-10,10.8,7,4
TASK-17648,Fix the timeout issue in the database layer when the network is slow,Bug Fix,Critical,Completed,2026-06-21,2026-06-22,5.5,3.0,USER-17,4.9,20,1
TASK-12697,Add integration tests for the search API endpoints,Testing,Low,Completed,2026-03-02,2026-03-14,4.2,1.0,USER-06,2.8,5,12
TASK-12229,Add role-based access control to the search API,Feature,Medium,Open,2026-05-22,2026-06-21,23.5,5.0,USER-11,0.8,18,30
TASK-14414,Fix the timeout issue in the order tracking page when the network is slow,Bug Fix,Critical,Completed,2026-02-04,2026-02-05,12.3,3.0,USER-22,2.5,15,1
TASK-17055,Build a filtering and sorting option for the notification service,Feature,Low,Open,2026-03-26,2026-04-17,9.5,5.0,USER-11,0.8,18,22
TASK-10800,Analyze current behavior of the order tracking page,Research,Medium,Completed,2026-01-05,2026-01-17,6.0,13.0,USER-20,4.7,12,12
TASK-16901,Create end-to-end test scenarios for the order tracking page,Testing,Medium,In Progress,2026-05-31,2026-06-04,6.8,2.0,USER-20,4.7,12,4
TASK-17134,Prototype a machine learning approach for the payment gateway,Research,Low,In Progress,2026-01-18,2026-01-23,7.2,2.0,USER-07,1.3,19,5
TASK-17580,Improve performance of the notification service,Maintenance,Medium,Completed,2026-04-17,2026-04-28,3.8,1.0,USER-02,14.3,19,11
